id,slug,url,name,description,category,platform,platform_role,tags,authors,repository,repository_host,registry,registry_name,doi,publication,website,blogpost,youtube,twitter,internetarchive,notes
531507,aoristaar,https://open-archaeo.info/post/aoristaar/,aoristAAR,A r package for the aoristic analysis of archaeological data.,Packages and libraries,R,language,Chronological modelling,ISAAKiel,https://github.com/ISAAKiel/aoristAAR,GitHub,,,,,,,,,https://archive.org/details/github.com-ISAAKiel-aoristAAR_-_2020-07-09_13-13-06,
6bbf5b,aoristic,https://open-archaeo.info/post/aoristic/,aoristic,R package for aoristic analysis; the goal of aoristic is to make sense of temporally vague data.,Packages and libraries,R,language,Chronological modelling,jerryratcliffe,https://github.com/jerryratcliffe/aoristic,GitHub,https://CRAN.R-project.org/package=aoristic,CRAN,,,,,,,https://archive.org/details/github.com-jerryratcliffe-aoristic_-_2021-01-31_22-30-35,
ca88a6,arbodat,https://open-archaeo.info/post/arbodat/,ArboDat,A program package for registering and importing data of archaeobotanical analyses including contexts of samples as well as evaluation tools.,Standalone software,,,Palaeobotany|Data management,Angela Kreuz,,,,,,,https://nihk.de/en/research/current-projects/arbodat-ape,,,,,
ea7dbf,arc-team-tools,https://open-archaeo.info/post/arc-team-tools/,Arc-Team-Tools,"A series of small, open-source applications for archaeology developed by Arc-Team.",Scripts,Python,language,Bits and bobs,lucaarcteam,https://github.com/lucaarcteam/Arc-Team-Tools,GitHub,,,,,,,,,,
fdf7f8,archaeocal,https://open-archaeo.info/post/archaeocal/,ArchaeoCal,An R Interface to OxCal.,Packages and libraries,R,language,"Radiocarbon dating, calibration and sequencing",nfrerebeau,https://github.com/ArchaeoStat/ArchaeoCal,GitHub,,,,,https://archaeostat.github.io/ArchaeoCal/,,,,,
53db77,archaeodata,https://open-archaeo.info/post/archaeodata/,ArchaeoData,Models and data to reproduce results from ArchaeoPhases examples and vignettes.,Packages and libraries,R,language,"Radiocarbon dating, calibration and sequencing|Datasets",philippe-a|tsdye|nfrerebeau,https://github.com/ArchaeoStat/ArchaeoData,GitHub,,,,,https://archaeostat.github.io/ArchaeoData/,,,,,
d7584e,archaeolines,https://open-archaeo.info/post/archaeolines/,ArchaeoLines,The archaeolines plugin displays any combination of declination arcs most relevant to archaeo- or ethnoastronomical studies.,Packages and libraries,Stellarium,host application,Spatial analysis|Viewshed analysis|Archaeoastronomy,stellarium,https://github.com/Stellarium/stellarium/tree/master/plugins/ArchaeoLines,GitHub,,,,,http://stellarium.sourceforge.net/wiki/index.php/ArchaeoLines_plugin,,,,,
ff888f,archaeological-informatization-poc,https://open-archaeo.info/post/archaeological-informatization-poc/,archaeological-informatization-poc,"Snapshot of the proof-of-concept pipeline from KIM Hongyeon's 2025 paper on LLM-based metadata extraction from archaeological excavation reports (PDF text/image extraction, caption mapping, LLM structuring, SQLite storage, glossary-augmented Q&A).",Standalone software,JavaScript,language,Data management|Machine learning|Schemas and ontologies|Drivers and IO,KIM Hongyeon,https://github.com/heripo-lab/archaeological-informatization-poc,GitHub,,,10.22755/KJCHS.2025.58.3.34,https://files.heripo.org/archaelogical-informatization-poc/(Eng._Version)_KIM_Hongyeon_2025_A_Study_on_Archaeological_Informatization_Using_Large_Language_Models.pdf,https://poc.heripo.org,,,,,
2c7895,archaeological-object-sharing,https://open-archaeo.info/post/archaeological-object-sharing/,archaeological-object-sharing,"An online space for sharing data, 3d models, etc about archaeological objects to enable the comparison of these objects.",Standalone software,,,Platforms and publications,anatolian,https://github.com/anatolian/archaeological-object-sharing,GitHub,,,,,,,,,https://archive.org/details/github.com-anatolian-archaeological-object-sharing_-_2017-01-25_19-13-38,
6add1a,archaeological-survey-location-collector,https://open-archaeo.info/post/archaeological-survey-location-collector/,archaeological-survey-location-collector,"An app for use in archaeological field survey to collect high-accurate point locations, photographs, and other data.",Packages and libraries,Mobile app,deployment,Site mapping,anatolian,https://github.com/anatolian/archaeological-survey-location-collector,GitHub,,,,,,,,,https://archive.org/details/github.com-anatolian-archaeological-survey-location-collector_-_2018-06-27_09-05-36,
f1159e,archaeological-catalogue-from-csv-spreadsheet,https://open-archaeo.info/post/archaeological-catalogue-from-csv-spreadsheet/,Archaeological_Catalogue_from_CSV_Spreadsheet,A template to create an archaeological catalogue from a spreadsheet using the LaTeX csvsimple package.,Scripts,LaTeX,language,Writing|Templates,latex-ninja,https://github.com/latex-ninja/Archaeological_Catalogue_from_CSV_Spreadsheet,GitHub,,,,,,https://latex-ninja.com/2021/07/16/latex-for-archaeologists-an-archaeological-catalogue-from-a-spreadsheet/,,,,
df8b07,archaeology-lili0824,https://open-archaeo.info/post/archaeology-lili0824/,ARchaeology,View the AR models on your phone.,Standalone software,,,3D modelling|Augmented reality|Site mapping,lili0824,https://github.com/lili0824/ARchaeology,GitHub,,,,,,,,,,
efe096,archaeology-data-service,https://open-archaeo.info/post/archaeology-data-service/,archaeology-data-service,An app to collect data on archaeological objects.,Packages and libraries,Mobile app,deployment,API interfaces and web scrapers,anatolian,https://github.com/anatolian/archaeology-data-service,GitHub,,,,,,,,,https://archive.org/details/github.com-anatolian-archaeology-data-service_-_2020-06-05_18-22-23,
a749d1,archaeosrp,https://open-archaeo.info/post/archaeosrp/,archaeosrp,Read PDFs with archaeological site report information and return the information in the forms as a dataframe.,Packages and libraries,R,language,Writing,seanbergin,https://github.com/seanbergin/archaeosrp,GitHub,,,,,,,,,,
b58272,archchron,https://open-archaeo.info/post/archchron/,archchron,For handling archaeological chronological data.,Packages and libraries,R,language,Chronological modelling,oliver.nakoinz,https://gitlab.com/oliver.nakoinz/archchron,GitLab,,,,,,,,,,
56fd39,archdata,https://open-archaeo.info/post/archdata/,archdata,The archdata package provides several types of data that are typically used in archaeological research,Packages and libraries,R,language,Datasets,David L. Carlson|Georg Roth,,,https://CRAN.R-project.org/package=archdata,CRAN,,,,,,,,
c09a33,archeoviz,https://open-archaeo.info/post/archeoviz/,archeoViz,"A packaged R 'Shiny' application for the visualisation, interactive exploration, and web communication of archaeological spatial data.",Packages and libraries,R,language,Diagrams and visualizations|Spatial analysis|Site mapping,sebastien-plutniak,https://github.com/sebastien-plutniak/archeoviz,GitHub,https://CRAN.R-project.org/package=archeoViz,CRAN,10.5281/zenodo.7460193,,https://analytics.huma-num.fr/archeoviz/home/,,,,,
7c887e,arches,https://open-archaeo.info/post/arches/,arches,"Arches is a web platform for creating, managing, & visualizing geospatial data. Arches was inspired by the needs of the Cultural Heritage community, particularly the widespread need of organizations to build & manage cultural heritage inventories.",Standalone software,,,Data management,archesproject,https://github.com/archesproject/arches,GitHub,,,,,https://www.archesproject.org/,,,,https://archive.org/details/github.com-archesproject-arches_-_2021-02-04_04-54-27,
c90141,archiedb,https://open-archaeo.info/post/archiedb/,archiedb,A light-weight database application designed to standardize and simplify data entry of archaeological or historical artifacts,Standalone software,,,Data management,archie,https://github.com/archiedb/archie,GitHub,,,,,,,,,https://archive.org/details/github.com-archiedb-archie_-_2018-09-30_23-00-43,
c7e68d,archio,https://open-archaeo.info/post/archio/,archio,Management tool for archaeologists.,Standalone software,Ruby,language,Data management,weberjavi,https://github.com/weberjavi/archio,GitHub,,,,,,,,,,
fcc967,archjobcad,https://open-archaeo.info/post/archjobcad/,ArchJobCAD,Tasks for excavations in autocad,Packages and libraries,AutoCAD,host application,Data management,ISAAKiel,https://github.com/ISAAKiel/ArchJobCAD,GitHub,,,,,,,,,https://archive.org/details/github.com-ISAAKiel-ArchJobCAD_-_2021-03-10_12-29-45,
7dd27b,archseries,https://open-archaeo.info/post/archseries/,archSeries,Frequency time-series tools for archaeology.,Packages and libraries,R,language,Chronological modelling,davidcorton,https://github.com/davidcorton/archSeries,GitHub,,,,,,,,,https://archive.org/details/github.com-davidcorton-archSeries_-_2017-09-22_15-50-23,
af7d6d,ariadne,https://open-archaeo.info/post/ariadne/,ariadne,Scripts querying the ariadne infrastructure.,Scripts,R,language,Data management|Drivers and IO,SCSchmidt,https://github.com/SCSchmidt/ariadne,GitHub,,,,,,,,,,
5ef689,ark-addons,https://open-archaeo.info/post/ark-addons/,ark-addons,"This is a django project to obtain statistical information from an ark project. It is aimed to mine data from archaeological databases and create customizable visualizations, querying both text and geographical data.",Standalone software,,,Data management,fradeve,https://github.com/fradeve/ark-addons,GitHub,,,,,,,,,https://archive.org/details/github.com-fradeve-ark-addons_-_2014-10-30_23-48-58,
f8f2e8,ark2,https://open-archaeo.info/post/ark2/,Ark2,"Ark (the archaeological recording kit) 2.0 development repository. Ark (the archaeological recording kit) is a web-based 'toolkit' for the collection, storage and dissemination of archaeological data. It includes data-editing, data-creation, data-viewing and data-sharing tools, all of which are delivered using a web-based front-end.",Standalone software,,,Data management,L-P Archaeology,https://github.com/lparchaeology/ARK2,GitHub,,,,,,,,,,
04a3e8,arkspatial,https://open-archaeo.info/post/arkspatial/,ArkSpatial,A qgis plugin to simplfy digitization of archaeological plans drawn using the museum of london single context recording methodology.,Packages and libraries,QGIS,host application,Site mapping,L-P Archaeology,https://github.com/lparchaeology/ArkSpatial,GitHub,,,,,,,,,https://archive.org/details/github.com-lparchaeology-ArkSpatial_-_2018-09-22_18-11-06,
e0c120,arothron,https://open-archaeo.info/post/arothron/,Arothron,"Tools of Virtual Anthropology to build virtual cavities as endocasts, to align two disarticulated models belonging to the same specimen, and functions to import and export format files into another format.",Packages and libraries,R,language,Biological anthropology|Zooarchaeology|Shape recognition|3D modelling,Arothron,https://github.com/AProfico/Arothron,GitHub,,,,,,,,,https://archive.org/details/github.com-AProfico-Arothron_-_2019-04-26_10-53-43,
0d2b48,arshm-release,https://open-archaeo.info/post/arshm-release/,arshm-release,Experimental mobile app demoing cultural heritage documentation tools in augmented reality. Supports capturing and annotating photos in 3d space. Proof-of-concept features in the app include image anchoring and surface drawing tools.,Packages and libraries,Mobile app,deployment,Augmented reality,zacharyliu,https://github.com/zacharyliu/arshm-release,GitHub,,,,,,,,,https://archive.org/details/github.com-zacharyliu-arshm-release_-_2018-07-27_23-22-39,
d23f4c,artefact-morpho,https://open-archaeo.info/post/artefact-morpho/,artefact-morpho.R,"R code for converting b&w jpgs of artefact silhouettes to matrices and computing basic elliptical fourier statistics, including pca and manova.",Scripts,R,language,Shape recognition,benmarwick,https://gist.github.com/benmarwick/6260541,GitHub Gist,,,,,,,,,https://archive.org/details/gist.github.com-6260541_-_2015-12-21_05-58-59,
021f63,artifact-class-diversity,https://open-archaeo.info/post/artifact-class-diversity/,Artifact_Class_Diversity,Estimates artifact class diversity in multiple geographic regions.,Scripts,R,language,Spatial analysis,taphocoenose,https://github.com/taphocoenose/Artifact_Class_Diversity,GitHub,,,,,,,,,https://archive.org/details/github.com-taphocoenose-Artifact_Class_Diversity_-_2020-10-06_16-50-13,
c64d11,artifacts-analyzer,https://open-archaeo.info/post/artifacts-analyzer/,Artifacts-Analyzer,Python script for analyzing data sets of archaeological artifacts containing only Boolean and categorical variables.,Packages and libraries,Python,language,Statistical analysis,Eythan31,https://github.com/Eythan31/Artifacts-Analyzer,GitHub,,,,,,,,,,
b3ee1c,autarch,https://open-archaeo.info/post/autarch/,AutArch,An AI-assisted workflow capable of creating uniform archaeological datasets from heterogeneous published resources.,Standalone software,Python,language,Machine learning|Data management,kevin-klein,https://github.com/kevin-klein/AutArch,GitHub,,,,,,,,,,
c7fcd5,baorista,https://open-archaeo.info/post/baorista/,baorista,Provides a Bayesian inferential tool for analysing time-frequencies of archaeological events associated with time spans typically obtained from relative chronological sequences (e.g. periods and phases).,Packages and libraries,R,language,Chronological modelling|Data management,ercrema,https://github.com/ercrema/baorista,GitHub,,,,https://doi.org/10.1111/arcm.12984,,,,,,
